# Average CPU: 3.35%
# Std Dev CPU: 1.31%
timestamp, cpu_percent
1755374482.73, 0.000
1755374483.24, 2.000
1755374483.74, 4.000
1755374484.24, 4.000
1755374484.74, 2.000
1755374485.24, 4.000
1755374485.74, 4.000
1755374486.24, 4.000
1755374486.74, 4.000
1755374487.24, 0.000
1755374487.74, 4.000
1755374488.24, 4.000
1755374488.75, 2.000
1755374489.25, 4.000
1755374489.75, 6.000
1755374490.25, 0.000
1755374490.75, 4.000
1755374491.25, 2.000
1755374491.75, 4.000
1755374492.25, 6.000
1755374492.75, 2.000
1755374493.25, 4.000
1755374493.75, 2.000
1755374494.25, 4.000
1755374494.75, 2.000
1755374495.25, 4.000
1755374495.75, 2.000
1755374496.25, 4.000
1755374496.76, 2.000
1755374497.26, 4.000
1755374497.76, 4.000
1755374498.26, 2.000
1755374498.76, 4.000
1755374499.26, 4.000
1755374499.76, 4.000
1755374500.26, 4.000
1755374500.76, 2.000
1755374501.26, 4.000
1755374501.76, 2.000
1755374502.26, 4.000
1755374502.76, 2.000
1755374503.26, 2.000
1755374503.76, 6.000
1755374504.27, 2.000
1755374504.77, 4.000
1755374505.27, 4.000
1755374505.77, 4.000
1755374506.27, 2.000
1755374506.77, 4.000
1755374507.27, 2.000
1755374507.77, 4.000
1755374508.27, 4.000
1755374508.77, 2.000
1755374509.27, 4.000
1755374509.77, 4.000
1755374510.27, 2.000
1755374510.78, 2.000
1755374511.28, 6.000
1755374511.78, 2.000
1755374512.28, 2.000
1755374512.78, 6.000
1755374513.28, 4.000
1755374513.78, 4.000
1755374514.28, 2.000
1755374514.78, 4.000
1755374515.28, 2.000
1755374515.78, 6.000
1755374516.28, 2.000
1755374516.78, 4.000
1755374517.28, 2.000
1755374517.79, 4.000
1755374518.29, 2.000
1755374518.79, 6.000
1755374519.29, 4.000
1755374519.79, 2.000
1755374520.29, 4.000
1755374520.79, 4.000
1755374521.29, 4.000
1755374521.79, 2.000
1755374522.29, 4.000
1755374522.80, 4.000
1755374523.30, 2.000
1755374523.80, 4.000
1755374524.30, 2.000
1755374524.80, 4.000
1755374525.30, 4.000
1755374525.80, 4.000
1755374526.30, 4.000
1755374526.80, 2.000
1755374527.30, 4.000
1755374527.80, 4.000
1755374528.30, 2.000
1755374528.81, 4.000
1755374529.31, 2.000
1755374529.81, 4.000
1755374530.31, 2.000
1755374530.81, 4.000
1755374531.31, 2.000
1755374531.81, 4.000
1755374532.31, 2.000
1755374532.81, 4.000
1755374533.32, 6.000
1755374533.82, 2.000
1755374534.32, 4.000
1755374534.82, 2.000
1755374535.32, 4.000
1755374535.82, 4.000
1755374536.32, 2.000
1755374536.82, 4.000
1755374537.33, 6.000
1755374537.83, 2.000
1755374538.33, 4.000
1755374538.83, 4.000
1755374539.33, 2.000
1755374539.83, 4.000
1755374540.33, 4.000
1755374540.83, 4.000
1755374541.33, 2.000
1755374541.83, 4.000
1755374542.34, 2.000
1755374542.84, 4.000
1755374543.34, 2.000
1755374543.84, 6.000
1755374544.34, 2.000
1755374544.84, 4.000
1755374545.34, 2.000
1755374545.84, 4.000
1755374546.34, 6.000
1755374546.84, 2.000
1755374547.34, 2.000
1755374547.85, 6.000
1755374548.35, 2.000
1755374548.85, 2.000
1755374549.35, 4.000
1755374549.85, 4.000
1755374550.35, 4.000
1755374550.85, 2.000
1755374551.35, 4.000
1755374551.85, 4.000
1755374552.35, 2.000
1755374552.86, 4.000
1755374553.36, 4.000
1755374553.86, 4.000
1755374554.36, 4.000
1755374554.86, 4.000
