# Average CPU: 3.55%
# Std Dev CPU: 1.28%
timestamp, cpu_percent
1755481249.08, 0.000
1755481249.58, 4.000
1755481250.08, 2.000
1755481250.58, 2.000
1755481251.09, 4.000
1755481251.59, 4.000
1755481252.09, 4.000
1755481252.59, 2.000
1755481253.11, 3.800
1755481253.61, 4.000
1755481254.11, 2.000
1755481254.62, 4.000
1755481255.12, 4.000
1755481255.62, 4.000
1755481256.12, 4.000
1755481256.62, 2.000
1755481257.12, 2.000
1755481257.63, 4.000
1755481258.15, 1.900
1755481258.65, 6.000
1755481259.15, 2.000
1755481259.65, 4.000
1755481260.15, 2.000
1755481260.66, 4.000
1755481261.16, 4.000
1755481261.66, 4.000
1755481262.16, 2.000
1755481262.66, 2.000
1755481263.16, 6.000
1755481263.67, 2.000
1755481264.17, 4.000
1755481264.67, 4.000
1755481265.17, 4.000
1755481265.67, 2.000
1755481266.18, 2.000
1755481266.68, 6.000
1755481267.18, 2.000
1755481267.68, 4.000
1755481268.18, 2.000
1755481268.68, 6.000
1755481269.19, 4.000
1755481269.69, 2.000
1755481270.19, 2.000
1755481270.69, 4.000
1755481271.19, 4.000
1755481271.70, 2.000
1755481272.20, 4.000
1755481272.70, 4.000
1755481273.20, 6.000
1755481273.70, 0.000
1755481274.21, 4.000
1755481274.71, 2.000
1755481275.21, 6.000
1755481275.71, 2.000
1755481276.21, 6.000
1755481276.72, 2.000
1755481277.22, 4.000
1755481277.72, 2.000
1755481278.22, 4.000
1755481278.72, 2.000
1755481279.23, 4.000
1755481279.73, 6.000
1755481280.23, 2.000
1755481280.73, 4.000
1755481281.23, 4.000
1755481281.74, 4.000
1755481282.24, 2.000
1755481282.74, 4.000
1755481283.26, 3.800
1755481283.76, 4.000
1755481284.27, 4.000
1755481284.77, 2.000
1755481285.27, 4.000
1755481285.77, 4.000
1755481286.27, 2.000
1755481286.78, 4.000
1755481287.28, 4.000
1755481287.78, 4.000
1755481288.30, 3.800
1755481288.80, 2.000
1755481289.30, 6.000
1755481289.81, 2.000
1755481290.31, 2.000
1755481290.81, 4.000
1755481291.31, 4.000
1755481291.81, 4.000
1755481292.32, 2.000
1755481292.82, 6.000
1755481293.34, 1.900
1755481293.84, 4.000
1755481294.34, 4.000
1755481294.85, 2.000
1755481295.35, 6.000
1755481295.85, 2.000
1755481296.35, 4.000
1755481296.86, 2.000
1755481297.36, 6.000
1755481297.86, 2.000
1755481298.36, 4.000
1755481298.86, 2.000
1755481299.37, 4.000
1755481299.87, 4.000
1755481300.37, 4.000
1755481300.87, 2.000
1755481301.38, 4.000
1755481301.88, 4.000
1755481302.38, 4.000
1755481302.88, 2.000
1755481303.40, 5.800
1755481303.90, 2.000
1755481304.41, 2.000
1755481304.91, 4.000
1755481305.41, 4.000
1755481305.91, 2.000
1755481306.42, 4.000
1755481306.92, 4.000
1755481307.42, 4.000
1755481307.92, 4.000
1755481308.42, 2.000
1755481308.93, 4.000
1755481309.43, 2.000
1755481309.93, 4.000
1755481310.43, 4.000
1755481310.94, 2.000
1755481311.44, 6.000
1755481311.94, 4.000
1755481312.44, 2.000
1755481312.94, 2.000
1755481313.45, 6.000
1755481313.97, 1.900
1755481314.47, 4.000
1755481314.97, 4.000
1755481315.47, 2.000
1755481315.98, 4.000
1755481316.48, 4.000
1755481316.98, 2.000
1755481317.48, 4.000
1755481317.99, 4.000
1755481318.49, 4.000
1755481319.01, 1.900
1755481319.51, 6.000
1755481320.01, 2.000
1755481320.52, 4.000
1755481321.02, 4.000
1755481321.52, 4.000
1755481322.02, 4.000
1755481322.53, 2.000
1755481323.03, 4.000
1755481323.53, 4.000
1755481324.05, 3.800
1755481324.55, 2.000
1755481325.06, 4.000
1755481325.56, 4.000
1755481326.06, 2.000
1755481326.56, 4.000
1755481327.07, 4.000
1755481327.57, 4.000
1755481328.07, 4.000
1755481328.57, 2.000
1755481329.08, 4.000
1755481329.58, 4.000
1755481330.08, 4.000
1755481330.58, 4.000
1755481331.09, 4.000
1755481331.59, 4.000
1755481332.09, 4.000
1755481332.59, 2.000
1755481333.10, 4.000
1755481333.62, 5.800
1755481334.12, 2.000
1755481334.62, 4.000
1755481335.13, 4.000
1755481335.63, 4.000
1755481336.13, 2.000
1755481336.63, 2.000
1755481337.14, 4.000
1755481337.64, 4.000
1755481338.14, 4.000
1755481338.66, 1.900
1755481339.16, 6.000
1755481339.67, 4.000
1755481340.17, 4.000
1755481340.67, 2.000
1755481341.18, 4.000
1755481341.68, 4.000
1755481342.18, 2.000
1755481342.68, 4.000
1755481343.19, 4.000
1755481343.69, 2.000
1755481344.19, 4.000
1755481344.69, 2.000
1755481345.20, 6.000
1755481345.70, 4.000
1755481346.20, 2.000
1755481346.70, 4.000
1755481347.21, 4.000
1755481347.71, 4.000
1755481348.21, 4.000
1755481348.71, 2.000
1755481349.24, 3.800
1755481349.74, 4.000
1755481350.24, 2.000
1755481350.74, 4.000
1755481351.25, 4.000
1755481351.75, 4.000
1755481352.25, 4.000
1755481352.75, 2.000
1755481353.26, 4.000
1755481353.76, 2.000
1755481354.28, 3.800
1755481354.78, 2.000
1755481355.29, 4.000
1755481355.79, 6.000
1755481356.29, 0.000
1755481356.79, 4.000
1755481357.30, 4.000
1755481357.80, 6.000
1755481358.30, 2.000
1755481358.81, 2.000
1755481359.31, 6.000
1755481359.81, 2.000
1755481360.31, 4.000
1755481360.82, 4.000
1755481361.32, 4.000
1755481361.82, 2.000
1755481362.33, 6.000
1755481362.83, 2.000
1755481363.33, 4.000
1755481363.83, 2.000
1755481364.34, 6.000
1755481364.84, 2.000
1755481365.34, 4.000
1755481365.85, 6.000
1755481366.35, 2.000
1755481366.85, 4.000
1755481367.35, 4.000
1755481367.86, 2.000
1755481368.36, 6.000
1755481368.86, 2.000
1755481369.37, 4.000
1755481369.87, 6.000
1755481370.37, 4.000
1755481370.87, 4.000
1755481371.38, 4.000
1755481371.88, 2.000
1755481372.38, 4.000
1755481372.89, 4.000
1755481373.39, 2.000
1755481373.89, 6.000
1755481374.39, 2.000
1755481374.90, 4.000
1755481375.40, 4.000
1755481375.90, 4.000
1755481376.41, 6.000
1755481376.91, 2.000
1755481377.41, 4.000
1755481377.92, 4.000
1755481378.42, 4.000
1755481378.92, 4.000
1755481379.42, 4.000
1755481379.93, 4.000
1755481380.43, 2.000
1755481380.93, 4.000
1755481381.44, 6.000
1755481381.94, 2.000
1755481382.44, 4.000
1755481382.95, 4.000
1755481383.45, 4.000
1755481383.95, 2.000
1755481384.46, 4.000
1755481384.98, 3.800
1755481385.48, 6.000
1755481385.98, 2.000
1755481386.49, 4.000
1755481386.99, 4.000
1755481387.49, 4.000
1755481388.00, 2.000
1755481388.50, 4.000
1755481389.00, 4.000
1755481389.51, 4.000
1755481390.01, 4.000
1755481390.51, 2.000
1755481391.02, 4.000
1755481391.52, 2.000
1755481392.02, 6.000
1755481392.52, 2.000
1755481393.03, 6.000
1755481393.53, 4.000
1755481394.03, 2.000
1755481394.56, 3.800
1755481395.06, 4.000
1755481395.56, 2.000
1755481396.07, 4.000
1755481396.57, 4.000
1755481397.07, 4.000
1755481397.58, 4.000
1755481398.08, 2.000
1755481398.58, 4.000
1755481399.08, 4.000
1755481399.61, 3.800
1755481400.11, 4.000
1755481400.61, 4.000
1755481401.12, 4.000
1755481401.62, 4.000
1755481402.12, 4.000
1755481402.63, 4.000
1755481403.13, 2.000
1755481403.63, 6.000
1755481404.14, 2.000
1755481404.64, 4.000
1755481405.16, 3.800
1755481405.66, 4.000
1755481406.17, 4.000
1755481406.67, 4.000
1755481407.17, 4.000
1755481407.68, 4.000
1755481408.18, 4.000
1755481408.68, 4.000
1755481409.19, 4.000
1755481409.69, 4.000
1755481410.21, 5.800
